alg time sample
SelectionSort 609 21000
InsertionSort 897 21000
QuickSort 114 21000
MergeSort 214 21000
SelectionSort 652 22000
InsertionSort 911 22000
QuickSort 37 22000
MergeSort 567 22000
SelectionSort 634 23000
InsertionSort 568 23000
QuickSort 41 23000
MergeSort 472 23000
SelectionSort 682 24000
InsertionSort 570 24000
QuickSort 47 24000
MergeSort 144 24000
SelectionSort 762 25000
InsertionSort 796 25000
QuickSort 53 25000
MergeSort 138 25000
SelectionSort 898 26000
InsertionSort 694 26000
QuickSort 54 26000
MergeSort 144 26000
SelectionSort 881 27000
InsertionSort 728 27000
QuickSort 58 27000
MergeSort 128 27000
SelectionSort 947 28000
InsertionSort 787 28000
QuickSort 61 28000
MergeSort 143 28000
SelectionSort 1017 29000
InsertionSort 860 29000
QuickSort 66 29000
MergeSort 155 29000
SelectionSort 1110 30000
InsertionSort 933 30000
QuickSort 72 30000
MergeSort 165 30000
SelectionSort 1214 31000
InsertionSort 979 31000
QuickSort 77 31000
MergeSort 175 31000
SelectionSort 1315 32000
InsertionSort 1123 32000
QuickSort 83 32000
MergeSort 201 32000
SelectionSort 1301 33000
InsertionSort 1129 33000
QuickSort 87 33000
MergeSort 203 33000
SelectionSort 1431 34000
InsertionSort 1251 34000
QuickSort 96 34000
MergeSort 221 34000
SelectionSort 1541 35000
InsertionSort 1346 35000
QuickSort 104 35000
MergeSort 262 35000
SelectionSort 1738 36000
InsertionSort 1425 36000
QuickSort 116 36000
MergeSort 235 36000
SelectionSort 1720 37000
InsertionSort 1418 37000
QuickSort 109 37000
MergeSort 267 37000
SelectionSort 1798 38000
InsertionSort 1576 38000
QuickSort 121 38000
MergeSort 269 38000
SelectionSort 1946 39000
InsertionSort 1648 39000
QuickSort 127 39000
MergeSort 320 39000
SelectionSort 1930 40000
InsertionSort 1643 40000
QuickSort 120 40000
MergeSort 324 40000
SelectionSort 2086 41000
InsertionSort 1752 41000
QuickSort 124 41000
MergeSort 385 41000
SelectionSort 2197 42000
InsertionSort 1844 42000
QuickSort 145 42000
MergeSort 325 42000
SelectionSort 2372 43000
InsertionSort 1989 43000
QuickSort 153 43000
MergeSort 359 43000
SelectionSort 2430 44000
InsertionSort 2083 44000
QuickSort 158 44000
MergeSort 400 44000
SelectionSort 2534 45000
InsertionSort 2112 45000
QuickSort 175 45000
MergeSort 450 45000
SelectionSort 2766 46000
InsertionSort 2172 46000
QuickSort 167 46000
MergeSort 543 46000
