2016-10-03 14:03:30,961 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.ccc:submission:1.0 @ /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/pom.xml.
2016-10-03 14:04:15,600 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PP3-01-Prova-AVLTreeVerifier-environment/src/main/java
2016-10-03 14:04:15,607 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PP3-01-Prova-AVLTreeVerifier-environment/src/test/java
2016-10-03 14:04:24,346 [Worker-31] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 168 sec
2016-10-03 14:04:34,147 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:04:34,152 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:04:34,154 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:04:34,157 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:05:27,145 [Worker-34] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment
2016-10-03 14:05:27,154 [Worker-34] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2016-10-03 14:08:53,576 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:08:53,592 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:08:53,593 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:08:53,619 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:09:02,333 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.ccc:submission:1.0 @ /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/pom.xml.
2016-10-03 14:09:07,234 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:09:07,241 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:09:07,243 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:09:07,245 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:09:11,729 [Worker-32] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment
2016-10-03 14:09:11,735 [Worker-32] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2016-10-03 14:09:59,280 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:09:59,333 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:09:59,337 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:09:59,344 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:12:48,452 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:12:48,456 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:12:48,457 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:12:48,460 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:15:02,272 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:15:02,276 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:15:02,278 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:15:02,281 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:15:04,946 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:15:04,949 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:15:04,950 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:15:04,954 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:17:21,627 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
